3	55063488	55063506	sgTS1	3	55063040	55063541	hbae1.1
3	55063488	55063506	sgTS1	3	55063040	55063541	hbae3
3	55063488	55063506	sgTS1	3	55063040	55063541	hbbe1.1
3	55066075	55066093	sgTS2	3	55065588	55066152	hbae1.1
3	55066075	55066093	sgTS2	3	55065588	55066152	hbae3
3	55066075	55066093	sgTS2	3	55065588	55066152	hbbe1.1
3	55069309	55069327	sgTS4	3	55068816	55069400	hbae1.1
3	55069309	55069327	sgTS4	3	55068816	55069400	hbae3
3	55069309	55069327	sgTS4	3	55068816	55069400	hbbe1.1
3	55060066	55060084	sgTS5	3	55059605	55060212	hbae1.1
3	55060066	55060084	sgTS5	3	55059605	55060212	hbae3
3	55060066	55060084	sgTS5	3	55059605	55060212	hbbe1.1
3	55057347	55057365	sgTS6	3	55056951	55057575	hbae1.1
3	55057347	55057365	sgTS6	3	55056951	55057575	hbae3
3	55057347	55057365	sgTS6	3	55056951	55057575	hbbe1.1
