gene_id,assigned_peaks
rpl24,"['1-2372-3057', '1-3427-4032', '1-4469-7268', '1-9541-9969', '1-11007-12962', '1-13276-13705', '1-14059-14260', '1-14625-15105', '1-15724-15934', '1-16762-17233', '1-17587-18215', '1-18372-20466', '1-21199-21555']"
cep97,"['1-2372-3057', '1-3427-4032', '1-4469-7268', '1-9541-9969', '1-11007-12962', '1-13276-13705', '1-14059-14260', '1-14625-15105', '1-15724-15934', '1-16762-17233', '1-17587-18215', '1-18372-20466', '1-21199-21555']"
nfkbiz,"['1-9541-9969', '1-11007-12962', '1-13276-13705', '1-14059-14260', '1-14625-15105', '1-15724-15934', '1-16762-17233', '1-17587-18215', '1-18372-20466', '1-21199-21555', '1-21590-23611']"
eed,"['1-18372-20466', '1-21199-21555', '1-21590-23611', '1-27097-29981', '1-30119-30406', '1-30997-31278', '1-31454-31701', '1-32151-33568', '1-34134-34335', '1-35228-35644']"
hikeshi,"['1-27097-29981', '1-30119-30406', '1-30997-31278', '1-31454-31701', '1-32151-33568', '1-34134-34335', '1-35228-35644', '1-36495-38783', '1-42391-42715', '1-43295-45665']"
tmem39a,"['1-35228-35644', '1-36495-38783', '1-42391-42715', '1-43295-45665', '1-47804-48421', '1-48799-50798']"
ildr1a,"['1-42391-42715', '1-43295-45665', '1-47804-48421', '1-48799-50798', '1-54567-55331', '1-55379-55955', '1-56763-57094']"
gpa33a,"['1-62642-63379', '1-63868-64257', '1-64473-65494', '1-67065-67408', '1-67609-68064', '1-68948-69665', '1-70824-72728', '1-73441-74774', '1-76043-76855', '1-77761-78767', '1-78982-79577']"
f7l,"['1-102102-102943', '1-103365-103694', '1-103780-104716', '1-108992-110074', '1-110381-110748', '1-110951-111623', '1-112224-112871', '1-114755-115737', '1-116940-117676', '1-117922-118235']"
f7,"['1-110381-110748', '1-110951-111623', '1-112224-112871', '1-114755-115737', '1-116940-117676', '1-117922-118235', '1-119674-120367', '1-121512-121806', '1-122058-122383', '1-124135-124688', '1-126579-127386', '1-128797-129190']"
f7i,"['1-117922-118235', '1-119674-120367', '1-121512-121806', '1-122058-122383', '1-124135-124688', '1-126579-127386', '1-128797-129190', '1-130846-131418', '1-131723-132528', '1-133103-133602', '1-134010-134240', '1-135787-137043']"
f10,"['1-126579-127386', '1-128797-129190', '1-130846-131418', '1-131723-132528', '1-133103-133602', '1-134010-134240', '1-135787-137043', '1-139315-140438', '1-140831-141737', '1-143822-145547']"
prozb,"['1-135787-137043', '1-139315-140438', '1-140831-141737', '1-143822-145547', '1-145767-146157', '1-147530-148035', '1-148154-148910', '1-150508-151643', '1-152732-152986']"
pcid2,"['1-148154-148910', '1-150508-151643', '1-152732-152986', '1-153483-154809', '1-155664-156408', '1-156845-158257', '1-160325-161322', '1-161952-162755', '1-165152-165499']"
cul4a,"['1-148154-148910', '1-150508-151643', '1-152732-152986', '1-153483-154809', '1-155664-156408', '1-156845-158257', '1-160325-161322', '1-161952-162755', '1-165152-165499']"
lamp1a,"['1-161952-162755', '1-165152-165499', '1-167834-168317', '1-168693-169153', '1-169835-170413', '1-170755-170988', '1-171416-172379', '1-173932-174313', '1-174638-175062', '1-176725-177664', '1-179506-180270']"
grtp1a,"['1-182057-183453', '1-185977-186933', '1-187385-187744', '1-188418-188835', '1-189516-191111', '1-191607-192263', '1-192559-193479', '1-194963-195528', '1-196604-197467', '1-197590-198481', '1-199442-199946', '1-200795-201485']"
adprhl1,"['1-196604-197467', '1-197590-198481', '1-199442-199946', '1-200795-201485', '1-201505-203160', '1-204095-205694', '1-205820-206383', '1-210127-211043', '1-211255-212245', '1-212955-213256', '1-213880-215487']"
dcun1d2b,"['1-205820-206383', '1-210127-211043', '1-211255-212245', '1-212955-213256', '1-213880-215487', '1-217215-217640', '1-218463-218855', '1-220873-222089']"
tmco3,"['1-205820-206383', '1-210127-211043', '1-211255-212245', '1-212955-213256', '1-213880-215487', '1-217215-217640', '1-218463-218855', '1-220873-222089']"
tfdp1b,"['1-217215-217640', '1-218463-218855', '1-220873-222089', '1-226071-226293', '1-226567-227795', '1-228066-228306', '1-228910-229339', '1-230004-230333', '1-232638-233230', '1-233390-233811', '1-234842-235895']"
grk1a,"['1-236090-236916', '1-237082-237385', '1-238000-238590', '1-241164-241510', '1-241913-242923', '1-243893-244671', '1-244776-245905', '1-246653-246925', '1-247661-247946', '1-248165-248422', '1-249755-250588', '1-251521-252269', '1-253979-254246']"
cenpe,"['1-251521-252269', '1-253979-254246', '1-255603-255917', '1-256849-257455', '1-257485-258027', '1-259088-260325', '1-260726-261080', '1-264755-265608', '1-267649-267903', '1-269386-269973']"
gas6,"['1-328710-329657', '1-329810-330435', '1-331363-331697', '1-331789-332457', '1-334349-334813', '1-335959-336355', '1-337110-338503', '1-339446-340303', '1-341030-341469', '1-343288-343945', '1-344086-345345', '1-345628-346070', '1-346591-346957']"
pros1,"['1-345628-346070', '1-346591-346957', '1-348380-348950', '1-349917-350409', '1-351582-352592', '1-352898-354233', '1-357091-357998', '1-358743-359232', '1-360155-360414', '1-361268-362114']"
rasa3,"['1-407066-407427', '1-408216-409064', '1-409760-411590', '1-413060-413953', '1-415001-415915', '1-416524-417177', '1-418383-420003']"
tpp2,"['1-409760-411590', '1-413060-413953', '1-415001-415915', '1-416524-417177', '1-418383-420003', '1-421718-422829', '1-424062-424507', '1-426268-427132', '1-427967-428296']"
ercc5,"['1-486217-487306', '1-488073-488392', '1-489015-489839', '1-491498-492459', '1-492673-493428', '1-493798-494859', '1-496619-497188', '1-499025-499708', '1-501078-501517', '1-501669-502067']"
blzf1,"['1-486217-487306', '1-488073-488392', '1-489015-489839', '1-491498-492459', '1-492673-493428', '1-493798-494859', '1-496619-497188', '1-499025-499708', '1-501078-501517', '1-501669-502067']"
trmt10c,"['1-505095-505915', '1-506349-506683', '1-509086-510095', '1-511313-512268', '1-513133-514315', '1-514658-514923', '1-517205-517542', '1-518768-519117', '1-520183-520881', '1-522059-522814']"
txnl4b,"['1-505095-505915', '1-506349-506683', '1-509086-510095', '1-511313-512268', '1-513133-514315', '1-514658-514923', '1-517205-517542', '1-518768-519117', '1-520183-520881', '1-522059-522814']"
si:ch73-41e3.7,"['1-514658-514923', '1-517205-517542', '1-518768-519117', '1-520183-520881', '1-522059-522814', '1-524177-525148', '1-525298-525687', '1-526827-527767', '1-528286-529156', '1-530115-530763', '1-531994-533687']"
mrpl16,"['1-517205-517542', '1-518768-519117', '1-520183-520881', '1-522059-522814', '1-524177-525148', '1-525298-525687', '1-526827-527767', '1-528286-529156', '1-530115-530763', '1-531994-533687']"
mrpl39,"['1-570751-572252', '1-574421-575112', '1-575724-576230', '1-579685-581163', '1-582111-582962', '1-585889-586302', '1-588116-588357', '1-588518-589138']"
jam2a,"['1-585889-586302', '1-588116-588357', '1-588518-589138', '1-591127-591561', '1-592424-592803', '1-594019-595172', '1-596565-597632', '1-598381-598844', '1-599733-600303', '1-601500-602253', '1-602799-603398', '1-604131-604477']"
atp5pf,"['1-604858-606297', '1-607669-608452', '1-608514-608922', '1-610459-611411', '1-613411-614866', '1-616806-617603', '1-618141-618553', '1-618777-619057', '1-621216-622030']"
appa,"['1-647694-648617', '1-650630-651343', '1-651744-652129', '1-655203-656946', '1-658145-658839', '1-659028-659324', '1-660248-661137', '1-661463-662321', '1-663191-664254', '1-664848-665592', '1-665988-666526']"
cyyr1,"['1-660248-661137', '1-661463-662321', '1-663191-664254', '1-664848-665592', '1-665988-666526', '1-667285-667795', '1-669170-670930', '1-671056-671291', '1-675266-675843']"
